type,title,slug,date,path,featured_file
post,Na psychopata s humorem,na-psychopata-s-humorem,2024-10-24T16:31:13,/posts/na-psychopata-s-humorem/,zivot-bavi-v-desti.png
post,Žatec,zatec,2023-10-05T18:47:38,/posts/zatec/,zatec-unesco-1.png
post,"Z polomrtvé sněženky matka ""MACHR""",z-polomrtve-snezenky-matka-machr,2022-02-28T21:27:00,/posts/z-polomrtve-snezenky-matka-machr/,img-20220225-183104.jpg
post,PF 2022,pf-2022,2021-12-30T21:56:56,/posts/pf-2022/,pf-2022-ctverec.png
post,Prázdniny v Neapoli?,prazdniny-v-neapoli,2021-11-07T19:52:07,/posts/prazdniny-v-neapoli/,img-20211031-134801-2.jpg
post,Slušný nebo poslušný?,slusny-nebo-poslusny,2021-04-14T20:27:59,/posts/slusny-nebo-poslusny/,img-20180712-224834-resized-20180831-092353960.jpg
post,Příběh o strachu,pribeh-o-strachu,2021-03-20T21:20:18,/posts/pribeh-o-strachu/,img-20210320-172643.jpg
post,"Bojovka, která baví :-)",bojovka-ktera-bavi,2021-02-09T18:32:35,/posts/bojovka-ktera-bavi/,img-20210131-135615-2.jpg
post,PF 2021,pf-2021,2021-01-03T14:19:17,/posts/pf-2021/,pf-2021.png
post,Život baví v práci,zivot-bavi-v-praci,2020-11-18T19:23:59,/posts/zivot-bavi-v-praci/,inteligence-network-2.jpg
post,Bilance cynická versus mateřská,bilance-cynicka-versus-materska,2020-09-10T21:31:54,/posts/bilance-cynicka-versus-materska/,img-20200910-223034-1.jpg
post,Návrat ke kořenům nebo k nesvobodě?,navrat-ke-korenum-nebo-k-nesvobode,2020-04-22T11:36:13,/posts/navrat-ke-korenum-nebo-k-nesvobode/,navrat-2.png
post,"5 tipů pro zdraví od ""Život baví""",5-tipu-pro-zdravi,2020-03-13T18:41:23,/posts/5-tipu-pro-zdravi/,snezenky-e1584097016456.jpg
post,Jak začít? Spolu!,zacit-spolu,2020-01-28T14:10:09,/posts/zacit-spolu/,clipdealer-a22168278-preview.jpg
post,Kdo jsem? Žena jako žádná jiná!,zena-jako-zadna-jina,2019-09-26T17:29:56,/posts/zena-jako-zadna-jina/,img-20190130-102830-resized-20190130-041956753-2.jpg
post,"Kurz, terapie nebo workshop pro ženy?",kurz-terapie-nebo-workshop-pro-zeny,2019-02-02T16:49:52,/posts/kurz-terapie-nebo-workshop-pro-zeny/,heart-1976646.jpg
post,PF 2019,pf-2019,2018-12-27T17:18:25,/posts/pf-2019/,pf-2019-zivot-bavi.png
post,Tip na nezapomenutelný dárek...,tip-na-nezapomenutelny-darek,2018-12-15T21:44:17,/posts/tip-na-nezapomenutelny-darek/,darkovy-poukaz.png
post,Můžeme ovlivnit inteligenci našich dětí?,muzeme-ovlivnit-inteligenci-nasich-deti,2018-11-17T23:56:45,/posts/muzeme-ovlivnit-inteligenci-nasich-deti/,brain-2750453-1280-e1533831034711.png
post,Feedback,feedback,2018-11-10T17:50:29,/posts/feedback/,reference.jpg
post,Prázdninové postřehy poučené matky,prazdninove-postrehy-poucene-matky,2018-09-01T08:00:43,/posts/prazdninove-postrehy-poucene-matky/,zapisky-z-prazdnin.png
post,Zážitek nemusí být dobrý. Hlavně že je silný...,zazitek-nemusi-byt-dobry,2018-07-10T21:59:19,/posts/zazitek-nemusi-byt-dobry/,silny-zazitek-e1531254264864.jpg
post,Jedeme na (rodinný) výlet?,jedeme-na-rodinny-vylet,2018-06-24T17:34:32,/posts/jedeme-na-rodinny-vylet/,img-20180622-101316-resized-20180624-070349801-e1531250941416.jpg
post,Co dělat v máji? Mějte se rádi!,co-delat-v-maji-mejte-se-radi,2018-05-09T11:49:00,/posts/co-delat-v-maji-mejte-se-radi/,31437517-1808650092534664-6062787891006799872-n-3-e1531251031159.jpg
post,Apalucha 2.0 aneb expedice bez tatínků,apalucha-2-0,2018-04-23T21:18:44,/posts/apalucha-2-0/,img-20180413-145647-resized-20180423-104319312-e1531251078330.jpg
page,Úvod,o-nas,2018-03-03T23:44:51,/pages/o-nas/,radost-ze-zivota.jpg
page,Nabídka,nabidka,2018-03-06T20:37:47,/pages/nabidka/,
page,Blog,blog,2018-03-06T20:38:44,/pages/blog/,
page,Kontakt,kontakt,2018-03-06T20:40:03,/pages/kontakt/,
page,Děkovací stránka,dekovaci-stranka,2018-04-09T10:03:36,/pages/dekovaci-stranka/,
page,O Ditě,o-mne,2018-04-09T19:31:56,/pages/o-mne/,
